TYPE,CHEMICAL_CNAME,CHEMICAL_NAME,CAS_NO,CO2,UOM_CO2,CO2_95UCI,CO2_95LCI,CH4,UOM_CH4,CH4_95UCI,CH4_95LCI,N2O,UOM_N2O,N2O_95UCI,N20_95LCI
Stationary,石油腦,Naphtha,,2.393761032,KgCO2/L,0.040927694,-0.054570259,0.000098,KgCH4/L,2.333333333,-0.666666667,1.96E-05,KgN2O/L,2.333333333,-0.666666667
Stationary,柏油,Bitumen,,3.3787476,KgCO2/L,0.114002478,-0.095415118,0.000126,KgCH4/L,2.333333333,-0.666666667,2.51E-05,KgN2O/L,2.333333333,-0.666666667
Stationary,潤滑油,Lubricants,,2.946167424,KgCO2/L,0.025920873,-0.019099591,0.000121,KgCH4/L,2.333333333,-0.666666667,0.000024116,KgN2O/L,2.333333333,-0.666666667
Stationary,其他油品,Other Petroleum Products,,2.76203196,KgCO2/L,0.015006821,-0.015006821,0.000113,KgCH4/L,2.333333333,-0.666666667,2.26E-05,KgN2O/L,2.333333333,-0.666666667
Stationary,乙烷,Ethane,,2.860187299,KgCO2/L,0.113636364,-0.082792208,0.000046,KgCH4/L,2,-0.7,4.64E-06,KgN2O/L,2,-0.7
Stationary,天然氣,Natural Gas,"	74-82-8",1.87903584,KgCO2/M3,0.039215686,-0.032085562,0.000033,KgCH4/M3,2,-0.7,3.35E-06,KgN2O/M3,2,-0.7
Stationary,煉油氣,Refinery Gas,,2.17043712,KgCO2/M3,0.197916667,-0.163194444,0.000038,KgCH4/M3,2,-0.7,3.77E-06,KgN2O/M3,2,-0.7
Stationary,焦爐氣,Coke Oven Gas,,0.780754464,KgCO2/M3,0.218468469,-0.15990991,0.000018,KgCH4/M3,2,-0.7,1.76E-06,KgN2O/M3,2,-0.7
Stationary,高爐氣,Blast Furnace Gas,,0.845817336,KgCO2/M3,0.184615385,-0.157692308,0.000003,KgCH4/M3,2,-0.7,3.25E-07,KgN2O/M3,2,-0.7
Stationary,一般廢棄物,Municipal Wastes,,0.779227274,KgCO2/Kg,0.319520175,-0.200654308,0.000255,KgCH4/Kg,2.333333333,-0.666666667,3.40E-05,KgN2O/Kg,2.75,-0.625
Stationary,事業廢棄物,Industrial Wastes,,,-,,,,,,,,,,
Stationary,木頭－固態,Wood/Wood Waste,,,-,,,,,,,,,,
Stationary,木炭,Charcoal,,,-,,,,,,,,,,
Stationary,其他固體生質燃料,Other Primary Solid Biomass,,,-,,,,,,,,,,
Stationary,生質汽油,Biogasoline,,,-,,,,,,,,,,
Stationary,生質柴油,Biodiesels,,,-,,,,,,,,,,
Stationary,其他液態生質燃料,Other Liquid Biofuels,,,-,,,,,,,,,,
Stationary,掩埋場沼氣,Landfill Gas,,,-,,,,,,,,,,
Stationary,污泥沼氣,Sludge Gas,,,-,,,,,,,,,,
Stationary,其他氣態生質燃料,Other Biogas,,,-,,,,,,,,,,
Mobile,航空燃油,Jet Kerosene,8008-20-6,2.3948496,KgCO2/L,0.040559441,-0.025174825,0.0001,KgCH4/L,2.333333333,-0.666666667,2.01E-05,KgN2O/L,2.333333333,-0.666666667
Mobile,車用汽油,Motor Gasoline,8006-61-9,2.263132872,KgCO2/L,0.053391053,-0.025974026,0.000816,KgCH4/L,2.44,-0.666666667,0.000261256,KgN2O/L,2.333333333,-0.666666667
Mobile,柴油,Gas/Diesel Oil,68334-30-5,2.606031792,KgCO2/L,0.009446694,-0.020242915,0.000137,KgCH4/L,1.435897436,-0.58974359,0.00013716,KgN2O/L,2.076923077,-0.666666667
Mobile,煤油,Kerosene,8008-20-6,2.55876282,KgCO2/L,0.025034771,-0.015299026,0.000107,KgCH4/L,2.333333333,-0.666666667,2.14E-05,KgN2O/L,2.333333333,-0.666666667
Mobile,潤滑油,Lubricants,,2.946167424,KgCO2/L,0.025920873,-1.91%,0.000121,KgCH4/L,2.333333333,-0.666666667,0.000024116,KgN2O/L,2.333333333,-0.666666667
